1	100	0.058	0.154	13394	1.40586	0.063	0.085	12457	1.14284
2	200	0.104	0.299	13394	1.40586	0.097	0.137	12457	1.14285
3	300	0.152	0.447	13394	1.40589	0.15	0.194	12457	1.14285
4	400	0.196	0.642	13394	1.40592	0.193	0.255	12457	1.14285
5	500	0.241	0.775	13394	1.40592	0.234	0.305	12457	1.14285
6	600	0.295	0.926	13394	1.40591	0.277	0.351	12457	1.14285
7	700	0.341	1.071	13394	1.40591	0.334	0.421	12457	1.14285
8	800	0.379	1.208	13394	1.40591	0.383	0.452	12457	1.14285
9	900	0.417	1.334	13394	1.40592	0.429	0.524	12457	1.14286
10	1024	0.478	1.496	13394	1.40591	0.464	0.587	12457	1.14285
11	2048	1.049	3.119	13394	1.40591	0.953	1.178	12457	1.14286
12	3072	1.515	3.62	13394	1.40591	1.38	1.685	12457	1.14286
13	4096	1.844	6.241	13394	1.40591	1.956	2.215	12457	1.14286
14	5120	2.509	7.876	13394	1.40591	2.274	2.76	12457	1.14286
15	6144	2.836	9.088	13394	1.40591	2.94	3.405	12457	1.14286
16	7168	3.416	9.85	13394	1.40591	3.111	3.886	12457	1.14286
17	8192	3.868	12.291	13394	1.40591	3.836	4.583	12457	1.14286
18	9216	4.227	13.599	13394	1.40591	4.048	5.049	12457	1.14286
19	10240	4.653	15.203	13394	1.40592	4.606	5.682	12457	1.14286
