1	100	0.059	0.177	17834	1.2736	0.055	0.064	16619	0.99998
2	200	0.104	0.362	17834	1.27362	0.099	0.121	16619	0.99999
3	300	0.167	0.532	17834	1.27362	0.149	0.18	16619	0.999993
4	400	0.21	0.697	17834	1.27363	0.208	0.241	16619	0.999995
5	500	0.255	0.877	17834	1.27363	0.251	0.298	16619	0.999996
6	600	0.293	1.035	17834	1.27363	0.289	0.354	16619	0.999997
7	700	0.356	1.195	17834	1.27363	0.34	0.415	16619	0.999997
8	800	0.408	1.454	17834	1.27363	0.376	0.461	16619	0.999998
9	900	0.445	1.629	17834	1.27363	0.446	0.546	16619	0.999998
10	1024	0.51	1.83	17834	1.27363	0.469	0.601	16619	0.999998
11	2048	0.973	3.425	17834	1.27611	1.066	1.204	16519	0.999999
12	3072	1.558	3.518	17834	1.27363	1.046	1.339	16619	0.999999
13	4096	2.103	7.464	17834	1.27363	1.909	2.281	16619	1
14	5120	2.576	9.186	17834	1.27363	2.362	2.915	16619	1
15	6144	2.867	9.754	17834	1.27363	2.902	3.434	16619	1
16	7168	3.298	12.447	17834	1.27363	3.337	4.003	16619	1
17	8192	3.914	13.498	17834	1.27363	3.644	4.518	16619	1
18	9216	4.694	15.317	17834	1.27363	3.745	5.243	16619	1
19	10240	4.804	18.249	17834	1.27363	4.633	5.741	16619	1
