1	100	0.032	0.06	851	3.33312	0.047	0.035	697	2.66653
2	200	0.058	0.112	851	3.33322	0.064	0.065	697	2.6666
3	300	0.081	0.16	851	3.33326	0.092	0.09	697	2.66662
4	400	0.107	0.221	851	3.33328	0.115	0.118	697	2.66663
5	500	0.145	0.28	851	3.33329	0.16	0.144	697	2.66664
6	600	0.161	0.307	851	3.3333	0.178	0.175	697	2.66664
7	700	0.184	0.371	851	3.3333	0.193	0.21	697	2.66665
8	800	0.211	0.421	851	3.33331	0.234	0.231	697	2.66665
9	900	0.237	0.474	851	3.33331	0.253	0.261	697	2.66665
10	1024	0.28	0.508	851	3.33332	0.28	0.295	697	2.66666
11	2048	0.546	1.143	851	3.33332	0.616	0.626	697	2.66666
12	3072	0.806	1.596	851	3.33333	0.838	0.92	697	2.66666
13	4096	1.12	2.059	851	3.33333	1.092	1.161	697	2.66666
14	5120	1.545	2.622	851	3.33333	1.343	1.429	697	2.66666
15	6144	1.783	3.047	851	3.33333	1.577	1.677	697	2.66667
16	7168	2.021	3.556	851	3.33333	1.86	1.951	697	2.66666
17	8192	2.226	4.049	851	3.33333	2.12	2.218	697	2.66667
18	9216	2.603	4.736	851	3.33333	2.275	2.467	697	2.66667
19	10240	2.705	5.331	851	3.33333	2.587	2.801	697	2.66667
