1	100	0.02	0.031	407	7.99875	0.03	0.025	277	7.99883
2	200	0.184	0.026	407	7.99988	0.049	0.038	277	7.99941
3	300	0.042	0.056	407	7.99938	0.064	0.053	277	7.99961
4	400	0.059	0.073	407	7.99958	0.093	0.062	277	7.99971
5	500	0.078	0.1	407	7.99969	0.103	0.081	277	7.99977
6	600	0.093	0.118	407	7.99975	0.118	0.092	277	7.9998
7	700	0.123	0.137	407	7.99979	0.138	0.106	277	7.99983
8	800	0.13	0.156	407	7.99982	0.159	0.119	277	7.99985
9	900	0.155	0.18	407	7.99984	0.172	0.13	277	7.99987
10	1024	0.179	0.204	407	7.99986	0.177	0.154	277	7.99989
11	2048	0.382	0.44	407	7.99994	0.369	0.293	277	7.99994
12	3072	0.613	0.675	407	7.99996	0.598	0.421	277	7.99996
13	4096	0.91	0.906	407	7.99997	0.799	0.547	277	7.99997
14	5120	0.988	1.188	407	7.99998	0.936	0.701	277	7.99998
15	6144	1.112	1.322	407	7.99998	1.102	0.82	277	7.99998
16	7168	1.419	1.539	407	7.99998	1.447	0.978	277	7.99998
17	8192	1.554	1.753	407	7.99998	1.495	1.158	277	7.99999
18	9216	1.769	1.945	407	7.99999	1.647	1.207	277	7.99999
19	10240	1.938	2.261	407	7.99999	1.922	1.344	277	7.99999
