1	100	0.051	0.104	2516	1.81812	0.047	0.048	2261	1.59995
2	200	0.087	0.206	2516	1.81815	0.08	0.087	2261	1.59998
3	300	0.122	0.301	2516	1.81816	0.118	0.132	2261	1.59998
4	400	0.164	0.414	2516	1.81817	0.151	0.17	2261	1.59999
5	500	0.196	0.5	2516	1.81817	0.178	0.217	2261	1.59999
6	600	0.243	0.594	2516	1.81817	0.22	0.246	2261	1.59999
7	700	0.262	0.714	2516	1.81817	0.274	0.33	2261	1.59999
8	800	0.289	0.786	2516	1.81817	0.329	0.382	2261	1.59999
9	900	0.323	0.952	2516	1.81817	0.361	0.392	2261	1.59999
10	1024	0.373	1.038	2516	1.81818	0.354	0.446	2261	1.6
11	2048	0.846	2.069	2516	1.81818	0.697	0.866	2261	1.6
12	3072	1.142	1.956	2516	1.81818	1.037	1.298	2261	1.6
13	4096	1.477	4.027	2516	1.81818	1.137	1.647	2261	1.6
14	5120	1.885	5.171	2516	1.81818	1.783	2.137	2261	1.6
15	6144	2.242	6.255	2516	1.81818	2.254	2.506	2261	1.6
16	7168	2.744	7.368	2516	1.81818	2.41	2.878	2261	1.6
17	8192	3.232	8.304	2516	1.81818	2.749	3.447	2261	1.6
18	9216	3.621	9.39	2516	1.81818	3.101	3.704	2261	1.6
19	10240	3.678	10.312	2516	1.81818	3.348	4.187	2261	1.6
