1	100	0.053	0.12	3182	1.67736	0.05	0.049	2885	1.59996
2	200	0.101	0.234	3182	1.67739	0.081	0.09	2885	1.59997
3	300	0.134	0.348	3182	1.67741	0.113	0.135	2885	1.59999
4	400	0.169	0.453	3182	1.67741	0.153	0.179	2885	1.59999
5	500	0.2	0.586	3182	1.67741	0.194	0.229	2885	1.59999
6	600	0.24	0.697	3182	1.67741	0.22	0.288	2885	1.59999
7	700	0.268	0.823	3182	1.67741	0.256	0.314	2885	1.59999
8	800	0.306	0.919	3182	1.67741	0.301	0.353	2885	1.6
9	900	0.347	1.055	3182	1.67741	0.347	0.441	2885	1.6
10	1024	0.403	1.154	3182	1.67742	0.353	0.437	2885	1.6
11	2048	0.854	2.517	3182	1.67742	0.726	0.902	2885	1.6
12	3072	1.263	3.447	3182	1.67742	1.098	1.298	2885	1.6
13	4096	1.68	4.673	3182	1.67742	1.669	1.754	2885	1.6
14	5120	1.966	5.526	3182	1.67742	1.81	2.13	2885	1.6
15	6144	2.4	5.727	3182	1.67742	2.122	2.554	2885	1.6
16	7168	2.758	8.233	3182	1.67742	2.825	2.984	2885	1.6
17	8192	3.13	9.24	3182	1.67742	2.827	3.374	2885	1.6
18	9216	3.602	8.953	3182	1.67742	2.976	3.816	2885	1.6
19	10240	4.062	10.824	3182	1.67742	3.487	4.195	2885	1.6
