1	100	0.036	0.093	1961	2.03385	0.064	0.041	1219	1.99992
2	200	0.066	0.173	1961	2.03388	0.089	0.079	1219	1.99996
3	300	0.098	0.257	1961	2.03387	0.123	0.115	1219	1.99997
4	400	0.137	0.355	1961	2.03389	0.167	0.148	1219	1.99998
5	500	0.169	0.431	1961	2.03389	0.19	0.175	1219	1.99998
6	600	0.208	0.541	1961	2.03388	0.209	0.218	1219	1.99999
7	700	0.254	0.625	1961	2.03389	0.242	0.238	1219	1.99999
8	800	0.277	0.714	1961	2.03389	0.261	0.273	1219	1.99999
9	900	0.301	0.792	1961	2.03389	0.29	0.3	1219	1.99999
10	1024	0.342	0.876	1961	2.03389	0.335	0.348	1219	1.99999
11	2048	0.782	1.801	1961	2.0339	0.642	0.691	1219	2
12	3072	1.085	2.662	1961	2.0339	0.948	1.001	1219	2
13	4096	1.446	3.627	1961	2.0339	1.323	1.395	1219	2
14	5120	1.75	4.235	1961	2.0339	1.595	1.663	1219	2
15	6144	2.199	5.091	1961	2.0339	1.8	1.954	1219	2
16	7168	2.599	5.751	1961	2.0339	2.206	2.288	1219	2
17	8192	2.842	6.883	1961	2.0339	2.392	1.273	1219	2
18	9216	3.182	7.844	1961	2.0339	2.706	2.918	1219	2
19	10240	3.761	8.612	1961	2.0339	2.978	3.361	1219	2
