1	100	    0.044	0.118	10619	1.85509	0.118	0.026	13142	1.46962	0.102	0.022	2547736		2.00882	0.167	0.145	23761	1.12444
2	200	    0.088	0.24	10619	1.85435	0.241	0.04	13142	1.47081	0.205	0.038	4604052		2.23151	0.342	0.28	23761	1.12994
3	300	    0.13	0.36	10619	1.85308	0.356	0.054	13142	1.47311	0.307	0.047	6506868		2.37497	0.454	0.46	23761	1.15804
4	400	    0.169	0.486	10619	1.85427	0.489	0.071	13142	1.47661	0.43	0.061	8312408		2.48552	0.636	0.559	23761	1.13106
5	500	    0.211	0.595	10619	1.85405	0.596	0.097	13142	1.47772	0.545	0.085	10032136	2.57015	0.799	0.683	23761	1.13035
6	600	    0.251	0.746	10619	1.85409	0.707	0.1	    13142	1.47748	0.657	0.084	11704308	2.53274	0.948	0.792	23761	1.13027
7	700	    0.298	0.844	10619	1.85424	0.821	0.115	13142	1.47646	0.789	0.116	13373436	2.5186	1.081	0.941	23761	1.13032
8	800	    0.34	0.997	10619	1.85403	0.96	0.129	13142	1.47792	0.906	0.12	15038964	2.51954	1.312	1.082	23761	1.13023
9	900	    0.389	1.055	10619	1.85419	1.115	0.145	13142	1.47685	1.131	0.131	16671560	2.52518	1.431	1.223	23761	1.13031
10	1024	0.43	1.262	10619	1.85567	1.22	0.163	13142	1.47053	1.182	0.145	18790276	2.52192	1.579	1.409	23761	1.14958
11	2048	0.858	2.551	10619	1.85567	2.394	0.313	13142	1.47056	2.444	0.254	34101088	2.69899	1.674	2.929	23761	1.15064
12	3072	1.308	3.839	10619	1.85568	3.612	0.488	13142	1.47057	3.798	0.37	47640640	2.87709	4.674	4.343	23761	1.15061
13	4096	1.845	5.024	10619	1.85568	4.806	0.746	13142	1.47058	5.1	    0.473	60012764	3.03552	6.397	5.417	23761	1.15091
14	5120	2.224	6.275	10619	1.85568	6.125	0.774	13142	1.47058	6.426	0.592	71545680	3.17698	6.37	7.074	23761	1.15069
15	6144	2.569	6.271	10619	1.85568	5.678	0.922	13142	1.47058	6.435	0.709	82401616	3.30621	9.411	8.154	23761	1.15085
16	7168	3.131	7.831	10619	1.85568	8.39	1.127	13142	1.47058	9.211	0.825	92652564	3.42764	10.833	9.554	23761	1.15082
17	8192	3.455	10.474	10619	1.85568	9.483	1.249	13142	1.47058	10.479	0.89	102431460	3.54112	11.016	10.678	23761	1.15093
18	9216	3.934	11.123	10619	1.85569	9.161	1.395	13142	1.47049	10.645	1.012	111759216	3.64922	12.482	11.74	23761	1.14995
19	10240	4.499	11.035	10619	1.85568	10.623	1.565	13142	1.47058	12.016	1.084	120729976	3.75219	14.024	13.473	23761	1.15088
