1	100	    0.051	0.104	2516	1.81812	0.022	0.015	13142	76.2472	0.059	0.014	300256	17.6979	0.069	0.121	15658	143.619
2	200	    0.087	0.206	2516	1.81815	0.042	0.023	13142	78.2277	0.119	0.017	427784	24.6658	0.114	0.225	15658	148.513
3	300	    0.122	0.301	2516	1.81816	0.059	0.027	13142	78.9109	0.181	0.022	525520	30.0235	0.161	0.337	15658	150.441
4	400	    0.164	0.414	2516	1.81817	0.079	0.033	13142	79.257	0.241	0.025	607904	34.5421	0.209	0.451	15658	151.256
5	500	    0.196	0.5	    2516	1.81817	0.117	0.037	13142	79.4661	0.301	0.036	680560	38.5194	0.267	0.552	15658	151.749
6	600	    0.243	0.594	2516	1.81817	0.124	0.047	13142	79.6061	0.373	0.034	746224	42.1168	0.305	0.645	15658	152.192
7	700	    0.262	0.714	2516	1.81817	0.139	0.055	13142	79.733	0.455	0.041	806568	45.4275	0.362	0.752	15658	152.413
8	800	    0.289	0.786	2516	1.81817	0.157	0.053	13142	79.8052	0.534	0.043	862808	48.5049	0.397	0.882	15658	152.58
9	900	    0.323	0.952	2516	1.81817	0.177	0.058	13142	79.8614	0.611	0.05	915552	51.3999	0.465	0.934	15658	152.709
10	1024	0.373	1.038	2516	1.81818	0.2	    0.064	13142	79.9146	0.651	0.049	977112	54.7694	0.503	1.099	15658	152.851
11	2048	0.846	2.069	2516	1.81818	0.493	0.124	13142	80.123	1.364	0.09	1384776	77.1263	0.998	2.174	15658	153.412
12	3072	1.142	1.956	2516	1.81818	0.705	0.184	13142	80.1927	02.05	0.125	1697744	94.2736	1.53	3.275	15658	153.577
13	4096	1.477	4.027	2516	1.81818	0.808	0.229	13142	80.2276	2.837	0.169	1961464	108.737	2.007	4.184	15658	153.677
14	5120	1.885	5.171	2516	1.81818	0.085	0.296	13142	80.2486	4.447	0.253	2193872	121.475	2.555	5.37	15658	153.723
15	6144	2.242	6.255	2516	1.81818	1.248	0.342	13142	80.2623	4.828	0.28	2403936	132.995	3.059	5.597	15658	153.765
16	7168	2.744	7.368	2516	1.81818	1.446	0.42	13142	80.2723	5.666	0.316	2597128	143.587	3.665	6.686	15658	153.785
17	8192	3.232	8.304	2516	1.81818	1.616	0.469	13142	80.2798	7.715	0.355	2776944	153.446	5.011	8.206	15658	153.809
18	9216	3.621	9.39	2516	1.81818	1.878	0.544	13142	80.2857	7.431	0.425	2945968	162.699	5.6	    9.616	15658	153.82
19	10240	3.678	10.312	2516	1.81818	2.077	0.564	13142	80.2904	7.297	0.426	3105568	171.465	5.16	10.623	15658	153.836
