1	100 	0.057	0.134	7067	1.55266	0.015	0.022	13142	55.519	0.066	0.016	638780	8.15569	0.065	0.168	20209	74.8123
2	200	    0.094	0.266	7067	1.55268	0.026	0.02	13142	58.4168	0.133	0.019	912988	11.4168	0.111	0.292	20209	92.9732
3	300	    0.143	0.385	7067	1.55271	0.039	0.026	13142	59.4699	0.203	0.023	1122900	13.9195	0.158	0.429	20209	101.007
4	400	    0.184	0.523	7067	1.55273	0.05	0.033	13142	60.0079	0.282	0.026	1299372	16.0201	0.207	0.592	20209	106.426
5	500	    0.228	0.653	7067	1.55273	0.062	0.038	13142	60.3365	0.342	0.038	1455476	17.879	0.25	0.718	20209	109.263
6	600	    0.258	0.78	7067	1.55273	0.076	0.044	13142	60.5593	0.416	0.04	1596076	19.5565	0.3	    0.828	20209	111.166
7	700	    0.299	0.947	7067	1.55273	0.088	0.05	13142	60.7111	0.508	0.041	1725428	21.0976	0.337	0.97	20209	112.297
8	800	    0.34	1.035	7067	1.55274	0.101	0.055	13142	60.8318	0.563	0.041	1845356	22.5251	0.381	1.17	20209	113.899
9	900	    0.393	1.141	7067	1.55273	0.127	0.062	13142	60.9195	0.669	0.046	1958596	23.8758	0.446	1.199	20209	114.998
10	1024	0.443	1.319	7067	1.55274	0.126	0.068	13142	61.0101	0.755	0.049	2090684	25.4515	0.497	1.416	20209	115.816
11	2048	0.641	1.914	7067	1.55274	0.25	0.106	13142	61.5998	0.83	0.076	2654332	29.8375	0.646	2.249	20209	122.408
12	3072	0.872	2.732	7067	1.55274	0.252	0.131	13142	61.3351	1.589	0.107	2964988	35.8684	1.069	3	    20209	119.392
13	4096	0.963	2.97	7067	1.55274	0.423	0.142	13142	61.3351	1.552	0.095	2964988	35.8684	1.106	2.891	20209	119.392
14	5120	1.713	5.519	7067	1.55274	0.534	0.262	13142	61.5016	3.273	0.191	4201204	50.6037	1.918	5.635	20209	121.254
15	6144	2.18	6.015	7067	1.55274	0.656	0.315	13142	61.534	4.429	0.223	4699460	56.5412	2.586	7.115	20209	121.638
16	7168	2.755	8.4	    7067	1.55274	0.803	0.39	13142	61.5555	3.845	0.26	5149988	61.9083	3.125	8.966	20209	121.895
17	8192	3.142	9.808	7067	1.55274	0.943	0.427	13142	61.5709	4.968	0.315	5564188	66.8451	3.384	10.225	20209	122.073
18	9216	3.518	11.009	7067	1.55274	1.054	0.512	13142	61.5839	7.267	0.385	5949660	71.4409	4.213	11.481	20209	122.212
19	10240	4.136	11.581	7067	1.55274	1.189	0.561	13142	61.5927	7.686	0.391	6311724	75.7571	4.524	13.021	20209	122.321
