1	100	    0.059	0.177	17834	1.2736	0.014	0.015	13142	55.5422	0.07	0.018	987296	    5.23176	0.24	0.219	30976	0.679838
2	200	    0.104	0.362	17834	1.27362	0.026	0.021	13142	63.8197	0.138	0.023	1412744	    7.31186	0.465	0.448	30976	0.680065
3	300	    0.167	0.532	17834	1.27362	0.035	0.027	13142	67.1656	0.222	0.026	1740456	    8.91539	0.697	0.635	30976	0.680169
4	400	    0.21	0.697	17834	1.27363	0.043	0.034	13142	68.9783	0.299	0.03	2018312	    10.2749	0.779	1.972	30976	0.680286
5	500	    0.255	0.877	17834	1.27363	0.056	0.036	13142	70.1017	0.373	0.035	2260904	    11.4616	0.918	0.777	30976	0.680199
6	600	    0.293	1.035	17834	1.27363	0.067	0.043	13142	70.8717	0.462	0.036	2480240	    12.5347	1.174	0.979	30976	0.680226
7	700	    0.356	1.195	17834	1.27363	0.08	0.053	13142	71.4361	0.535	0.041	2683616	    13.5303	1.361	1.166	30976	0.680244
8	800	    0.408	1.454	17834	1.27363	0.086	0.054	13142	71.8609	0.636	0.044	2870880	    14.4465	1.611	1.42	30976	0.680264
9	900	    0.445	1.629	17834	1.27363	0.104	0.072	13142	72.1969	0.698	0.048	3047808	    15.3134	1.836	1.554	30976	0.680267
10	1024	0.51	1.83	17834	1.27363	0.11	0.064	13142	72.5175	0.787	0.054	3253856	    16.3217	2.068	1.905	30976	0.680274
11	2048	0.973	3.425	17723	1.27611	0.225	0.13	13142	73.4222	1.693	0.103	4608128	    23.0518	4.641	3.847	30865	0.697936
12	3072	0.058	3.518	17834	1.27363	0.239	0.137	13142	73.7395	1.667	0.096	4618120	    22.9992	4.818	4.13	30976	0.680308
13	4096	2.103	7.464	17834	1.27363	0.475	0.272	13142	74.366	3.396	0.193	6547608	    32.4428	8.702	8.203	30976	0.68032
14	5120	2.576	9.186	17834	1.27363	0.565	0.326	13142	74.4894	4.203	0.218	7325088	    36.249	11.132	10.082	30976	0.680324
15	6144	2.867	9.754	17834	1.27363	0.656	0.356	13142	74.5746	4.951	0.259	8028088	    39.6896	14.342	11.196	30976	0.680325
16	7168	3.298	12.447	17834	1.27363	0.781	0.411	13142	74.6355	5.832	0.309	8674392	    42.8544	15.532	14.148	30976	0.680327
17	8192	3.914	13.498	17834	1.27363	0.977	0.477	13142	74.6813	6.87	0.349	9276160	    45.7991	18.087	15.633	30976	0.680328
18	9216	4.694	15.317	17834	1.27363	1.007	0.519	13142	74.7169	7.549	0.384	9841296 48.5652	20.768	17.894	30976	0.680329
19	10240	4.804	18.249	17834	1.27363	1.271	0.612	13142	74.7439	7.937	0.409	10427428	50.489	23.574	19.091	30976	0.680329
