1	100	    0.058	0.154	13394	1.40586	0.014	0.008	13142	50.6844	0.07	0.016	896632	5.78307	0.223	0.196	26536	0.754382
2	200	    0.104	0.299	13394	1.40586	0.024	0.014	13142	55.6766	0.145	0.019	1284080	8.08958	0.426	0.363	26536	0.760416
3	300	    0.152	0.447	13394	1.40589	0.037	0.019	13142	57.525	0.222	0.027	1580784	9.85547	0.64	0.528	26536	0.758167
4	400	    0.196	0.642	13394	1.40592	0.05	0.025	13142	58.5119	0.289	0.027	1829456	11.3371	0.841	0.685	26536	0.764154
5	500	    0.241	0.775	13394	1.40592	0.059	0.038	13142	59.1147	0.364	0.031	2049704	12.6484	1.032	0.873	26536	0.771357
6	600	    0.295	0.926	13394	1.40591	0.069	0.047	13142	59.5327	0.457	0.036	2249280	13.8373	1.297	1.044	26536	0.746738
7	700	    0.341	1.071	13394	1.40591	0.083	0.05	13142	59.8202	0.541	0.039	2433048	14.9326	1.477	1.203	26536	0.758282
8	800	    0.379	1.208	13394	1.40591	0.09	0.055	13142	60.054	0.613	0.044	2602984	15.9452	1.647	1.507	26536	0.75948
9	900	    0.417	1.334	13394	1.40592	0.107	0.063	13142	60.2241	0.694	0.047	2762888	16.8978	1.864	1.513	26536	0.754826
10	1024	0.478	1.496	13394	1.40591	0.116	0.068	13142	60.3949	0.76	0.051	2949696	18.0112	2.1	    1.733	26536	0.761846
11	2048	1.049	3.119	13394	1.40591	0.263	0.161	13142	61.0209	1.648	0.106	4186216	25.3775	4.455	3.477	26536	0.761952
12	3072	1.515	3.62	13394	1.40591	0.35	0.198	13142	61.2325	2.497	0.133	5134696	31.0321	6.715	5.26	26536	0.761986
13	4096	1.844	6.241	13394	1.40591	0.564	0.276	13142	61.3388	3.404	0.195	5934976	35.7952	7.969	7.19	26536	0.762004
14	5120	2.509	7.876	13394	1.40591	0.619	0.327	13142	61.4028	4.066	0.222	6639648	39.9939	10.033	8.619	26536	0.762014
15	6144	2.836	9.088	13394	1.40591	0.733	0.368	13142	61.4455	3.947	0.258	7276832	43.7892	12.95	10.467	26536	0.762021
16	7168	3.416	9.85	13394	1.40591	0.847	0.427	13142	61.4761	5.874	0.297	7862792	47.2793	15.015	11.215	26536	0.762026
17	8192	3.868	12.291	13394	1.40591	0.93	0.482	13142	61.499	5.503	0.344	8408168	50.528	17.021	12.696	26536	0.76203
18	9216	4.227	13.599	13394	1.40591	1.039	0.527	13142	61.5168	7.774	0.386	8920408	53.5791	18.399	15.559	26536	0.762033
19	10240	4.653	15.203	13394	1.40592	1.197	0.602	13142	61.5311	7.798	0.429	9404832	56.4653	21.465	16.319	26536	0.762035
