1	100	0.027	0.015	13142	81.5207	0.039	0.014	13142	119.754
2	200	0.049	0.021	13142	83.3856	0.062	0.019	13142	123.445
3	300	0.073	0.026	13142	84.0263	0.085	0.026	13142	124.827
4	400	0.096	0.032	13142	84.3472	0.111	0.03	13142	125.449
5	500	0.118	0.053	13142	84.5434	0.141	0.041	13142	125.89
6	600	0.152	0.047	13142	84.6748	0.155	0.042	13142	126.134
7	700	0.183	0.05	13142	84.767	0.176	0.047	13142	126.307
8	800	0.193	0.054	13142	84.8379	0.204	0.051	13142	126.478
9	900	0.215	0.059	13142	84.8931	0.234	0.058	13142	126.576
10	1024	0.241	0.066	13142	84.9461	0.234	0.066	13142	126.685
11	2048	0.508	0.127	13142	85.1392	0.467	0.117	13142	127.092
12	3072	0.75	0.18	13142	85.2038	0.702	0.17	13142	127.229
13	4096	0.963	0.232	13142	85.2361	0.948	0.226	13142	127.297
14	5120	1.182	0.281	13142	85.2555	1.243	0.307	13142	127.338
15	6144	1.421	0.336	13142	85.2685	1.483	0.346	13142	127.365
16	7168	1.68	0.383	13142	85.2777	1.758	0.405	13142	127.385
17	8192	1.931	0.448	13142	85.2847	02.08	0.456	13142	127.399
18	9216	2.238	0.516	13142	85.2901	2.211	0.499	13142	127.411
19	10240	2.371	0.564	13142	85.2944	2.472	0.562	13142	127.42
