1	100	0.014	0.015	13142	55.5422	0.012	0.015	13142	67.4074
2	200	0.026	0.021	13142	63.8197	0.022	0.02	13142	84.1618
3	300	0.035	0.027	13142	67.1656	0.032	0.025	13142	91.789
4	400	0.043	0.034	13142	68.9783	0.042	0.033	13142	96.1579
5	500	0.056	0.036	13142	70.1017	0.053	0.035	13142	98.9536
6	600	0.067	0.043	13142	70.8717	0.065	0.041	13142	100.911
7	700	0.08	0.053	13142	71.4361	0.085	0.05	13142	102.368
8	800	0.086	0.054	13142	71.8609	0.085	0.053	13142	103.476
9	900	0.104	0.072	13142	72.1969	0.103	0.058	13142	104.361
10	1024	0.11	0.064	13142	72.5175	0.113	0.069	13142	105.231
11	2048	0.225	0.13	13142	73.4222	0.215	0.124	13142	108.057
12	3072	0.239	0.137	13142	73.7395	0.217	0.121	13142	108.51
13	4096	0.475	0.272	13142	74.366	0.437	0.236	13142	110.227
14	5120	0.565	0.326	13142	74.4894	0.548	0.304	13142	110.577
15	6144	0.656	0.356	13142	74.5746	0.649	0.343	13142	110.812
16	7168	0.781	0.411	13142	74.6355	0.75	0.396	13142	110.98
17	8192	0.977	0.477	13142	74.6813	0.854	0.453	13142	111.107
18	9216	1.007	0.519	13142	74.7169	0.968	0.51	13142	111.205
19	10240	1.271	0.612	13142	74.7439	1.026	0.557	13142	111.284
