1	100	0.019	0.016	13142	73.6075	0.371	0.565	13142	116.89
2	200	0.037	0.021	13142	75.8711	0.019	0.014	13142	106.877
3	300	0.055	0.026	13142	76.6633	0.035	0.02	13142	111.655
4	400	0.07	0.032	13142	77.0608	0.051	0.025	13142	113.438
5	500	0.087	0.038	13142	77.3402	0.071	0.031	13142	114.28
6	600	0.109	0.046	13142	77.495	0.09	0.037	13142	114.796
7	700	0.124	0.056	13142	77.6087	0.11	0.044	13142	115.182
8	800	0.155	0.055	13142	77.6918	0.121	0.056	13142	115.426
9	900	0.162	0.063	13142	77.7784	0.136	0.055	13142	115.638
10	1024	0.177	0.063	13142	77.8321	0.153	0.058	13142	115.778
11	2048	0.35	0.125	13142	78.0823	0.173	0.067	13142	115.914
12	3072	0.532	0.184	13142	78.166	0.344	0.12	13142	116.456
13	4096	0.727	0.243	13142	78.208	0.514	0.185	13142	116.638
14	5120	0.886	0.284	13142	78.2332	0.701	0.231	13142	116.729
15	6144	1.115	0.367	13142	78.25	0.878	0.311	13142	116.783
16	7168	1.242	0.443	13142	78.2617	1.061	0.347	13142	116.82
17	8192	1.502	0.497	13142	78.2707	1.241	0.404	13142	116.846
18	9216	1.611	0.52	13142	78.2778	1.41	0.463	13142	116.865
19	10240	1.778	0.609	13142	78.2834	1.571	0.514	13142	116.881
