1	100	0.033	0.016	13142	80.9486	0.03	0.014	13142	119.347
2	200	0.062	0.023	13142	82.282	0.058	0.021	13142	122.196
3	300	0.097	0.044	13142	82.7363	0.085	0.029	13142	123.077
4	400	0.121	0.036	13142	82.9654	0.118	0.033	13142	123.522
5	500	0.151	0.037	13142	83.1034	0.147	0.036	13142	123.851
6	600	0.19	0.043	13142	83.1957	0.173	0.046	13142	124.021
7	700	0.206	0.049	13142	83.2617	0.201	0.048	13142	124.186
8	800	0.24	0.054	13142	83.3113	0.236	0.054	13142	124.272
9	900	0.266	0.059	13142	83.3499	0.264	0.073	13142	124.339
10	1024	0.303	0.064	13142	83.3853	0.301	0.071	13142	124.445
11	2048	0.613	0.127	13142	83.5318	0.584	0.124	13142	124.712
12	3072	0.928	0.181	13142	83.5739	0.876	0.174	13142	124.81
13	4096	1.29	0.233	13142	83.5951	1.236	0.232	13142	124.86
14	5120	1.509	0.291	13142	83.6118	1.537	0.288	13142	124.884
15	6144	1.83	0.344	13142	83.6195	1.808	0.337	13142	124.905
16	7168	2.098	0.396	13142	83.628	2.017	0.467	13142	124.92
17	8192	2.671	0.45	13142	83.6318	2.317	0.495	13142	124.927
18	9216	2.66	0.495	13142	83.6348	2.671	0.51	13142	124.936
19	10240	3.097	0.569	13142	83.6392	2.916	0.562	13142	124.944
