1	100	0.014	0.008	13142	50.6844	0.013	0.015	13142	64.0709
2	200	0.024	0.014	13142	55.6766	0.024	0.02	13142	75.5993
3	300	0.037	0.019	13142	57.525	0.033	0.026	13142	80.3574
4	400	0.05	0.025	13142	58.5119	0.044	0.033	13142	82.983
5	500	0.059	0.038	13142	59.1147	0.056	0.037	13142	84.6397
6	600	0.069	0.047	13142	59.5327	0.071	0.059	13142	85.7956
7	700	0.083	0.05	13142	59.8202	0.082	0.051	13142	86.6206
8	800	0.09	0.055	13142	60.054	0.092	0.057	13142	87.2704
9	900	0.107	0.063	13142	60.2241	0.104	0.064	13142	87.7646
10	1024	0.116	0.068	13142	60.3949	0.117	0.066	13142	88.2527
11	2048	0.263	0.161	13142	61.0209	0.228	0.123	13142	90.0887
12	3072	0.35	0.198	13142	61.2325	0.345	0.201	13142	90.7178
13	4096	0.564	0.276	13142	61.3388	0.467	0.237	13142	91.0357
14	5120	0.619	0.327	13142	61.4028	0.591	0.306	13142	91.2275
15	6144	0.733	0.368	13142	61.4455	0.705	0.355	13142	91.3558
16	7168	0.847	0.427	13142	61.4761	0.831	0.411	13142	91.4477
17	8192	0.93	0.482	13142	61.499	0.943	0.467	13142	91.5167
18	9216	1.039	0.527	13142	61.5168	1.046	0.523	13142	91.5705
19	10240	1.197	0.602	13142	61.5311	1.165	0.577	13142	91.6135
