1	100	0.015	0.022	13142	55.519	0.014	0.015	13142	75.3092
2	200	0.026	0.02	13142	58.4168	0.025	0.02	13142	82.8142
3	300	0.039	0.026	13142	59.4699	0.037	0.026	13142	85.6798
4	400	0.05	0.033	13142	60.0079	0.051	0.033	13142	87.1808
5	500	0.062	0.038	13142	60.3365	0.056	0.035	13142	88.0907
6	600	0.076	0.044	13142	60.5593	0.069	0.046	13142	88.7432
7	700	0.088	0.05	13142	60.7111	0.084	0.049	13142	89.1886
8	800	0.101	0.055	13142	60.8318	0.091	0.062	13142	89.5336
9	900	0.127	0.062	13142	60.9195	0.124	0.07	13142	89.7958
10	1024	0.126	0.068	13142	61.0101	0.121	0.066	13142	90.0548
11	2048	0.25	0.106	13142	61.5998	0.238	0.12	13142	91.021
12	3072	0.252	0.131	13142	61.3351	0.24	0.13	13142	91.021
13	4096	0.423	0.142	13142	61.3351	0.484	0.254	13142	91.5079
14	5120	0.534	0.262	13142	61.5016	0.607	0.294	13142	91.6043
15	6144	0.656	0.315	13142	61.534	0.728	0.363	13142	91.6713
16	7168	0.803	0.39	13142	61.5555	0.859	0.403	13142	91.717
17	8192	0.943	0.427	13142	61.5709	0.966	0.504	13142	91.7533
18	9216	1.054	0.512	13142	61.5839	1.182	0.569	13142	91.7797
19	10240	1.189	0.561	13142	61.5927	1.214	0.592	13142	91.8025
