1	100	0.205	0.02	13142	83.7285	0.2	0.014	13142	124.727
2	200	0.403	0.022	13142	84.5233	0.4	0.02	13142	126.031
3	300	0.621	0.036	13142	84.7916	0.592	0.027	13142	126.576
4	400	0.817	0.034	13142	84.9264	0.792	0.031	13142	126.772
5	500	1.023	0.037	13142	85.0075	0.999	0.039	13142	126.953
6	600	1.279	0.041	13142	85.0616	1.182	0.043	13142	127.021
7	700	1.436	0.047	13142	85.1003	1.396	0.046	13142	127.115
8	800	1.668	0.055	13142	85.1294	1.564	0.052	13142	127.146
9	900	0.476	0.056	13142	85.152	1.756	0.056	13142	127.17
10	1024	2.118	0.065	13142	85.1739	2.54	0.065	13142	127.208
11	2048	4.147	0.123	13142	85.2535	3.995	0.117	13142	127.355
12	3072	6.168	0.173	13142	85.2801	6.025	0.18	13142	127.404
13	4096	7.057	0.228	13142	85.2934	8.008	0.234	13142	127.428
14	5120	10.442	0.289	13142	85.3014	9.917	0.284	13142	127.443
15	6144	12.495	0.34	13142	85.3067	10.584	0.342	13142	127.453
16	7168	13.285	0.384	13142	85.3105	13.958	0.433	13142	127.46
17	8192	15.41	0.444	13142	85.3134	14.655	0.45	13142	127.465
18	9216	17.289	0.502	13142	85.3156	17.897	0.5	13142	127.469
19	10240	19.601	0.564	13142	85.3174	18.692	0.565	13142	127.473
