1	100	0.022	0.015	13142	76.2472	0.021	0.014	13142	111.304
2	200	0.042	0.023	13142	78.2277	0.039	0.019	13142	115.576
3	300	0.059	0.027	13142	78.9109	0.059	0.024	13142	116.984
4	400	0.079	0.033	13142	79.257	0.077	0.03	13142	117.701
5	500	0.117	0.037	13142	79.4661	0.099	0.036	13142	118.19
6	600	0.124	0.047	13142	79.6061	0.124	0.041	13142	118.473
7	700	0.139	0.055	13142	79.733	0.137	0.055	13142	118.675
8	800	0.157	0.053	13142	79.8052	0.165	0.052	13142	118.862
9	900	0.177	0.058	13142	79.8614	0.175	0.058	13142	118.978
10	1024	0.2	0.064	13142	79.9146	0.199	0.066	13142	119.1
11	2048	0.493	0.124	13142	80.123	0.391	0.121	13142	119.55
12	3072	0.705	0.184	13142	80.1927	0.596	0.185	13142	119.7
13	4096	0.808	0.229	13142	80.2276	0.797	0.235	13142	119.776
14	5120	0.985	0.296	13142	80.2486	0.984	0.28	13142	119.821
15	6144	1.248	0.342	13142	80.2623	1.183	0.356	13142	119.851
16	7168	1.446	0.42	13142	80.2723	1.368	0.392	13142	119.868
17	8192	1.616	0.469	13142	80.2798	1.531	0.45	13142	119.885
18	9216	1.878	0.544	13142	80.2857	1.758	0.505	13142	119.898
19	10240	2.077	0.564	13142	80.2904	1.971	0.562	13142	119.909
