1	100	    0.069	0.079	1406	2.35283	0.033	0.016	13142	80.9486	0.058	0.014	211412	25.441	0.054	0.097	14548	179.021
2	200	    0.095	0.157	1406	2.35289	0.062	0.023	13142	82.282	0.113	0.018	301416	35.3043	0.093	0.169	14548	189.279
3	300	    0.126	0.221	1406	2.35291	0.097	0.044	13142	82.7363	0.176	0.021	370576	42.8691	0.129	0.245	14548	192.965
4	400	    0.163	0.294	1406	2.35291	0.121	0.036	13142	82.9654	0.231	0.026	428944	49.2426	0.171	0.324	14548	194.862
5	500	    0.187	0.382	1406	2.35292	0.151	0.037	13142	83.1034	0.293	0.028	480168	54.8826	0.208	0.428	14548	196.018
6	600 	0.221	0.453	1406	2.35292	0.19	0.043	13142	83.1957	0.356	0.033	526680	59.959	0.245	0.473	14548	196.797
7	700 	0.243	0.496	1406	2.35293	0.206	0.049	13142	83.2617	0.427	0.039	569392	64.6348	0.29	0.559	14548	197.357
8	800 	0.273	0.581	1406	2.35293	0.24	0.054	13142	83.3113	0.524	0.043	609064	68.9969	0.332	0.634	14548	197.779
9	900	    0.302	0.646	1406	2.35293	0.266	0.059	13142	83.3499	0.584	0.047	646456	73.0791	0.374	0.739	14548	198.108
10	1024	0.342	0.741	1406	2.35293	0.303	0.064	13142	83.3853	0.636	0.043	689928	77.8506	0.412	0.861	14548	198.367
11	2048	0.692	1.459	1406	2.35294	0.613	0.127	13142	83.5318	1.309	0.09	978272	109.455	0.853	1.535	14548	199.577
12	3072	0.969	2.239	1406	2.35294	0.928	0.181	13142	83.5739	2.251	0.134	1199432	133.718	1.239	2.394	14548	199.969
13	4096	1.385	1.965	1406	2.35294	1.29	0.233	13142	83.5951	2.884	0.179	1385936	154.168	1.637	3.098	14548	200.157
14	5120	1.78	3.816	1406	2.35294	1.509	0.291	13142	83.6118	3.914	0.218	1550336	172.18	2	    3.988	14548	200.309
15	6144	2.028	3.251	1406	2.35294	1.83	0.344	13142	83.6195	4.685	0.255	1698904	188.463	2.387	4.61	14548	200.377
16	7168	2.344	5.126	1406	2.35294	2.098	0.396	13142	83.628	5.037	0.316	1835552	203.438	2.872	5.318	14548	200.438
17	8192	2.635	5.955	1406	2.35294	2.671	0.45	13142	83.6318	6.515	0.341	1962624	217.389	3.066	4.851	14548	200.478
18	9216	3.039	6.473	1406	2.35294	2.66	0.495	13142	83.6348	7.344	0.378	2082096	230.479	3.785	5.769	14548	200.505
19	10240	3.3	    7.348	1406	2.35294	3.097	0.569	13142	83.6392	7.374	0.431	2195032	242.866	4.2	    7.635	14548	200.546
