1	100	    0.02	0.031	407	7.99875	0.205	0.02	13142	83.7285	0.049	0.006	63724	92.8377	0.061	0.044	13549	591.908
2	200	    0.184	0.026	407	7.99988	0.403	0.022	13142	84.5233	0.102	0.01	92168	123.077	0.112	0.076	13549	634.056
3	300	    0.042	0.056	407	7.99938	0.621	0.036	13142	84.7916	0.164	0.014	114056	146.565	0.158	0.089	13549	649.471
4	400	    0.059	0.073	407	7.99958	0.817	0.034	13142	84.9264	0.221	0.018	132448	166.572	0.204	0.11	13549	657.464
5	500	    0.078	0.1	    407	7.99969	1.023	0.037	13142	85.0075	0.286	0.022	148712	184.173	0.248	0.131	13549	662.354
6	600	    0.093	0.118	407	7.99975	1.279	0.041	13142	85.0616	0.342	0.026	163436	200.065	0.306	0.156	13549	665.655
7	700	    0.123	0.137	407	7.99979	1.436	0.047	13142	85.1003	0.43	0.031	176832	214.933	0.338	0.18	13549	668.034
8	800	    0.13	0.156	407	7.99982	1.668	0.055	13142	85.1294	0.498	0.035	189448	228.571	0.385	0.211	13549	669.828
9	900	    0.155	0.18	407	7.99984	0.476	0.056	13142	85.152	0.568	0.04	201284	241.383	0.428	0.225	13549	671.231
10	1024	0.179	0.204	407	7.99986	2.118	0.065	13142	85.1739	0.688	0.047	214984	256.501	0.487	0.259	13549	672.595
11	2048	0.382	0.44	407	7.99994	4.147	0.123	13142	85.2535	1.604	0.12	306184	356.174	0.963	0.498	13549	677.594
12	3072	0.613	0.675	407	7.99996	6.168	0.173	13142	85.2801	2.727	0.143	376104	432.819	1.371	0.754	13549	679.276
13	4096	0.91	0.906	407	7.99997	7.057	0.228	13142	85.2934	3.558	0.174	435080	497.427	1.738	0.895	13549	680.121
14	5120	0.988	1.188	407	7.99998	10.442	0.289	13142	85.3014	4.828	0.216	487064	554.333	2.196	1.139	13549	680.628
15	6144	0.112	1.322	407	7.99998	12.495	0.34	13142	85.3067	6.278	0.262	534032	605.821	2.662	1.361	13549	680.967
16	7168	1.419	1.539	407	7.99998	13.285	0.384	13142	85.3105	7.711	0.302	577200	653.202	3.118	1.544	13549	681.209
17	8192	1.554	1.753	407	7.99998	15.41	0.444	13142	85.3134	9.477	0.348	617480	697.191	3.769	1.871	13549	681.391
18	9216	1.769	1.945	407	7.99999	17.289	0.502	13142	85.3156	10.544	0.392	655176	738.665	3.947	2.088	13549	681.533
19	10240	1.938	2.261	407	7.99999	19.601	0.564	13142	85.3174	12.153	0.432	690896	777.818	3.061	2.2	    13549	681.646
